Major, Early Career Pay, Mid-Career Pay, High Meaning
Spanish Language,47700.0,77100.0,51%
Multimedia,44700.0,77000.0,45%
Spanish Language Teacher Education,45500.0,76900.0,73%
Public Administration,46700.0,76900.0,57%
Human Nutrition,48600.0,76900.0,85%
Audio Engineering,48300.0,76800.0,39%
Graphics Technology & Management,39500.0,76800.0,38%
Physical Anthropology,52900.0,76800.0,51%
Organizational Leadership,50500.0,76700.0,58%
Environmental Health Science,53800.0,76600.0,61%
Health Sciences,44600.0,76600.0,70%
Journalism & Electronic Media,45200.0,76500.0,48%
Religious Studies,43900.0,76300.0,55%
Art History,46600.0,76200.0,45%
Radiologic Science,57600.0,76200.0,81%
3D Animation,51800.0,76000.0,42%
Culture Studies,48100.0,75900.0,40%
Merchandising,53100.0,75900.0,31%
Administrative Management,52700.0,75800.0,50%
Human Resources (HR),47300.0,75800.0,56%
Liberal Arts,44500.0,75800.0,53%
Adult Education & Training,48700.0,75600.0,79%
Fashion Merchandising,46900.0,75600.0,29%
Health & Fitness,39800.0,75600.0,67%
Natural Resources,47400.0,75500.0,64%
Organizational Management,48800.0,75500.0,57%
Modern Languages,50300.0,75400.0,53%
Natural Resource Management,46500.0,75400.0,60%
Retail Management,50100.0,75400.0,35%
Sociology & Anthropology,44500.0,75400.0,50%
Creative Writing,45300.0,75200.0,41%
Criminal Justice Administration,45700.0,75100.0,56%
Ethnic Studies,47500.0,74900.0,63%
Philosophy & Religious Studies,49300.0,74900.0,61%
Radiology,54800.0,74900.0,80%
Medical Laboratory Technology,56900.0,74400.0,82%
Sports Management,45400.0,74400.0,43%
Anthropology & English,48000.0,74300.0,-
Broadcast Communication,40000.0,74300.0,44%
Criminology,44700.0,74300.0,54%
Earth Science,50000.0,74300.0,48%
Media & Technology,45200.0,74300.0,43%
Visual Communications,45400.0,74300.0,38%
Advertising & Graphic Design,46800.0,74200.0,37%
Applied Behavior Analysis,38700.0,74200.0,81%
Psychology,44700.0,74200.0,56%
Applied Management,45500.0,74100.0,53%
Hotel & Restaurant Management,47300.0,74100.0,48%
Anthropology,46400.0,73900.0,46%
Arts Management,39400.0,73800.0,48%
Diagnostic Medical Imaging,60600.0,73800.0,73%
Communication Arts,42400.0,73600.0,39%
Middle Eastern Studies,57100.0,73600.0,48%
Radiologic Technology,55200.0,73600.0,83%
Painting & Printmaking,34700.0,73600.0,41%
Cardiopulmonary Science,48900.0,73400.0,90%
Human Relations,45000.0,73400.0,63%
Humanities,48500.0,73200.0,49%
Health Care Administration,45800.0,73100.0,69%
Health Care Management,46700.0,73000.0,72%
Life Sciences,53100.0,73000.0,64%
Ecology,46400.0,72900.0,57%
Media Arts,46500.0,72900.0,34%
Respiratory Care,54800.0,72800.0,84%
Art & Design,45100.0,72700.0,38%
Health Information Management,49000.0,72700.0,69%
Hospitality Management,46400.0,72700.0,43%
Health Teacher Education,37900.0,72600.0,46%
Sports Medicine,50100.0,72600.0,77%
Multimedia & Web Design,50200.0,72600.0,34%
Sociology,46200.0,72500.0,55%
Liberal Studies,44300.0,72400.0,56%
Interior Design,45100.0,72300.0,50%
Medical Laboratory Science,55600.0,72300.0,85%
Secondary Education,44600.0,72300.0,59%
Child Psychology,38900.0,72200.0,64%
Exercise Physiology,44100.0,72200.0,76%
Radiography,55300.0,72200.0,85%
Archaeology,45900.0,72100.0,46%
Art Administration,40200.0,72100.0,56%
Hotel & Restaurant Tourism,44300.0,72100.0,49%
Illustration,45200.0,72100.0,36%
Arts & Science,45700.0,71900.0,-
Health,44200.0,71900.0,73%
Turfgrass Management,53100.0,71900.0,51%
Animal Science & Management,44200.0,71800.0,55%
SocialStudies,45800.0,71700.0,57%
Human Resources Development,48600.0,71600.0,50%
Speech Pathology & Audiology,44100.0,71600.0,78%
Clinical Laboratory Science,55100.0,71500.0,83%
Forensic Science,46000.0,71500.0,64%
Health Administration,42700.0,71500.0,66%
Geomatics,52300.0,71400.0,70%
Media Communication,47000.0,71400.0,45%
Health Management,45100.0,71300.0,-
Commercial Photography,43800.0,71300.0,23%
Fashion Design & Marketing,45300.0,71100.0,44%
Mass Media,40300.0,71100.0,49%
Medical Technology,56500.0,71000.0,81%
Respiratory Therapy,54500.0,70900.0,82%
Theater,44600.0,70700.0,50%
Forensic Psychology,43000.0,70600.0,54%
Kinesiology,44800.0,70600.0,66%
Performing Arts,45700.0,70500.0,57%
Psychology & Social Behavior,45800.0,70500.0,59%
Religion,44400.0,70500.0,59%
Radio & Television,43100.0,70500.0,41%
